zipcode,day_of_week_x,total_price_delta_pct
3251,0,-0.9533450429619806
3251,1,-0.8901784286415266
3251,2,-0.8325564393558461
3251,3,-0.7797797264443761
3251,4,-1.185465491173085
3251,5,-1.099854130893976
3251,6,-1.022897022005838
3574,0,4.575311255406409
3574,1,4.583914824339691
3574,2,4.591756051721911
3574,3,4.598931962841393
3574,4,3.121600385332457
3574,5,3.121600385332457
3574,6,7.433416855039606
3809,0,26.34219171907043
3809,1,26.596890231534754
3809,2,30.989317968375328
3809,3,26.664301496547456
3809,4,0.6695690254331083
3809,5,-2.5709379149442015
3809,6,20.1449676045639
4015,0,5.90712836332059
4015,1,5.954013515611565
4015,2,7.156192266053259
4015,3,7.233516609479925
4015,4,-4.782686359022871
4015,5,-4.782686359022871
4015,6,5.8555116818993325
4039,0,-0.1287006924190017
4039,1,-0.1287006924190017
4039,2,-0.1287006924190017
4039,3,-0.1287006924190017
4039,4,-0.1287006924190017
4039,5,-0.1287006924190017
4039,6,-0.1287006924190017
4043,0,5.40217221425128
4043,1,5.40217221425128
4043,2,2.8871529206357454
4043,3,2.920403616408794
4043,4,5.40217221425128
4043,5,5.40217221425128
4043,6,5.40217221425128
4055,0,-0.15689551657072145
4055,1,-0.27536984403114895
4055,2,0.1057274759253359
4055,3,1.0221987319247645
4055,4,-2.7410058244305167
4055,5,-1.311701465982108
4055,6,0.9758074468013671
4062,0,-0.013306158201843412
4062,1,-0.22022614545759658
4062,2,-0.4080090240654159
4062,3,-0.5791923111941019
4062,4,-5.8501943232968205
4062,5,-6.182732268291803
4062,6,0.21583342500083105
4064,0,10.64702438489158
4064,1,10.991702560052497
4064,2,8.533858602365978
4064,3,7.897717420815601
4064,4,5.005305450347293
4064,5,5.597265822537894
4064,6,9.363450104461032
4071,0,-0.9585699925041079
4071,1,-0.9271540454304457
4071,2,-0.898424677389881
4071,3,-0.8720513995957839
4071,4,-1.0154402584289017
4071,5,-0.9944805483507977
4071,6,-0.9756242986301706
4072,0,1.8983406901149877
4072,1,1.8983406901149877
4072,2,1.8983406901149877
4072,3,1.8983406901149877
4072,4,1.5534422071473262
4072,5,-3.1679365704034175
4072,6,1.8983406901149877
4084,0,0.37327541112072044
4084,1,0.3369905722350299
4084,2,0.3285151106058245
4084,3,0.32076221900375945
4084,4,0.4597117304227251
4084,5,0.4627075468759171
4084,6,0.41331220290087983
4274,0,13.012820512820513
4274,1,13.012820512820513
4274,2,13.012820512820513
4274,3,13.012820512820513
4274,4,-20.692757534862796
4274,5,-20.692757534862796
4274,6,13.012820512820513
5450,0,8.800720775218194
5450,1,8.667257433832106
5450,2,8.696707997470268
5450,3,9.450595812388526
5450,4,-14.501500942848606
5450,5,-14.595391530915467
5450,6,8.948431650154177
5478,0,3.4876130007248243
5478,1,3.4876130007248243
5478,2,3.4876130007248243
5478,3,3.4876130007248243
5478,4,1.5722505615638982
5478,5,1.4200536067342502
5478,6,1.7727606239116565
5487,0,-0.6116977554245108
5487,1,0.4789224882157246
5487,2,0.6522261026558862
5487,3,0.8113049683388354
5487,4,-0.7143381745738129
5487,5,-1.3198681591911576
5487,6,-2.0424137171854038
5672,0,-3.0712922678964163
5672,1,-2.893909125459235
5672,2,-2.7317271937800855
5672,3,-2.5828727125051465
5672,4,-3.6769872699013466
5672,5,-3.4810951286471408
5672,6,-3.2661189049499972
5751,0,6.513080013006143
5751,1,6.463953412604222
5751,2,4.34590938762655
5751,3,4.3545760054372336
5751,4,-8.434908883776611
5751,5,-8.433908886998438
5751,6,3.5760838089651164
5860,0,9.357906581435996
5860,1,9.357906581435996
5860,2,9.357906581435996
5860,3,9.357906581435996
5860,4,-5.076493322809759
5860,5,-7.07786963098192
5860,6,9.357906581435996
28428,0,10.603273157586168
28428,1,9.961158743827767
28428,2,5.137963333853142
28428,3,6.357136781639347
28428,4,2.764651333199182
28428,5,1.9536869480663275
28428,6,5.8328191675084655
28461,0,18.01983029364366
28461,1,18.371702116618795
28461,2,18.694128136935905
28461,3,18.99065609506975
28461,4,16.740799712470913
28461,5,17.20999264233999
28461,6,17.634285921965322
28462,0,0.0
28462,1,0.0
28462,2,0.0
28462,3,0.0
28462,4,0.0
28462,5,0.0
28462,6,0.0
28480,0,11.61374703791569
28480,1,12.934608841051
28480,2,11.299072788135852
28480,3,9.250225343659329
28480,4,7.72496777067292
28480,5,7.8784356841844865
28480,6,10.00470158118142
28512,0,-0.6545265859404995
28512,1,-0.6125604094877825
28512,2,-0.5906430068257296
28512,3,-0.5549226256204699
28512,4,-0.7390975466242885
28512,5,-0.7122837999445993
28512,6,-0.6812805964658332
29572,0,-1.277395011904998
29572,1,-1.2868274290353363
29572,2,-1.2954198399937817
29572,3,-1.3032796717404016
29572,4,-1.3245297950656703
29572,5,-1.2477102579943478
29572,6,-1.2743463962020145
29575,0,-11.382252109671137
29575,1,-11.382252109671137
29575,2,-11.382252109671137
29575,3,-11.382252109671137
29575,4,-11.382252109671137
29575,5,-11.382252109671137
29575,6,-11.382252109671137
29577,0,44.50354660686316
29577,1,44.8189005563994
29577,2,35.965686599506256
29577,3,30.803586571776343
29577,4,11.93240697235483
29577,5,12.205231230072519
29577,6,27.174849555555486
29579,0,27.439204641409322
29579,1,29.65249730106436
29579,2,25.193332997106147
29579,3,24.417270554039852
29579,4,3.5223976308184457
29579,5,3.59739301615802
29579,6,15.724257222463933
29582,0,73.76960648212612
29582,1,76.16886647427737
29582,2,77.0381061219065
29582,3,74.95129809947099
29582,4,-7.066015456498475
29582,5,-6.439887422961117
29582,6,18.60672513747125
29585,0,5.402178209713183
29585,1,5.402178209713183
29585,2,2.755652576337337
29585,3,2.789068304031474
29585,4,5.402178209713183
29585,5,5.402178209713183
29585,6,5.402178209713183
33109,0,-9.800551840596983
33109,1,20.078880331595084
33109,2,20.19822640063927
33109,3,-19.135535141934774
33109,4,-28.04309114309527
33109,5,-27.61169430917632
33109,6,-17.88193782762955
33125,0,2.3016047860213122
33125,1,4.118971860475566
33125,2,2.903807604413654
33125,3,-1.5184293803070272
33125,4,-19.769392416377944
33125,5,-19.755381051535018
33125,6,-7.851246661355804
33127,0,11.051608466599179
33127,1,13.787901780474256
33127,2,6.477191600835481
33127,3,1.8661874528958395
33127,4,-12.829303397419524
33127,5,-13.83133775248598
33127,6,-4.169410311531136
33131,0,7.891585589737298
33131,1,13.316071851876783
33131,2,13.937254987779179
33131,3,5.902135968323503
33131,4,-25.29581745057411
33131,5,-30.483887426047264
33131,6,-3.533896093736606
33133,0,12.3090038524216
33133,1,12.612078645937064
33133,2,4.5191373494485285
33133,3,2.621686696781951
33133,4,-2.7079626408722874
33133,5,-2.2216901090080827
33133,6,5.969689798760764
33137,0,6.533311108421126
33137,1,7.7937137025102015
33137,2,8.10976857861107
33137,3,7.170700781679616
33137,4,-9.669527519803633
33137,5,-9.675172324405679
33137,6,-9.680458089026558
33138,0,3.3613203701355356
33138,1,4.980487048828134
33138,2,3.4051967841974085
33138,3,2.672416365589632
33138,4,-1.1439053547264169
33138,5,-0.9700888128414059
33138,6,2.901024668378055
33139,0,7.754001522356306
33139,1,14.909733904078406
33139,2,14.795829323772175
33139,3,5.4838527360154625
33139,4,-18.26705690366875
33139,5,-20.096408171742794
33139,6,-4.923034630801668
33140,0,30.360976286314447
33140,1,32.454041245780736
33140,2,31.540976220053153
33140,3,31.367587653432604
33140,4,-25.456033702845456
33140,5,-27.269458941271104
33140,6,0.8703478193696663
33141,0,12.63826207047073
33141,1,14.783666105904377
33141,2,8.392167855845353
33141,3,6.614994694817628
33141,4,-4.056817060464687
33141,5,-5.185080283517972
33141,6,-0.5947719418148316
33147,0,-0.9983133289167628
33147,1,-0.8823862953440642
33147,2,-0.7168516789694677
33147,3,-1.086017756473284
33147,4,-1.3682569507590379
33147,5,-1.2663646542205627
33147,6,-1.1218008212007224
33150,0,46.623298897854866
33150,1,55.57120785305296
33150,2,51.434351619716516
33150,3,-0.9480757177711102
33150,4,-51.51738131465603
33150,5,-52.426931744687145
33150,6,3.6278901147044507
33169,0,-17.057044647171182
33169,1,14.739815568400621
33169,2,14.693987817389369
33169,3,14.672938387609268
33169,4,-12.76931709269106
33169,5,-27.695840485180707
33169,6,-17.23400086554881
33175,0,0.0
33175,1,0.0
33175,2,0.0
33175,3,0.0
33175,4,0.0
33175,5,0.0
33175,6,0.0
